	Type de signalement	Date	Heure	Rue	Ville	lat	lon	Type de vélo	Le vélo était-il stationné dans un lieu clos ?	Le vélo était-il attaché ?
70	Vélo volé	21/08/2020	18:30	Route de vannes	Nantes	47.24809524131223	 -1.6089288008105422	Vélo de route	Oui, un local privatif	Non
71	Vélo volé	22/08/2020	22:00	Rue de la fraternité 	Saint-Jean-de-Boiseau	47.19381780321771	 -1.6986805896766448	Vélo de route	Oui, un local privatif	Non
72	Vélo volé	22/08/2020	14:45	Rue Voltaire	Nantes	47.21230131539315	 -1.564810189676164	VTT	Non	Non
73	Vélo volé	14/08/2020		Rue Anatole de Monzie	Nantes	47.203634666273295	 -1.5409400050225934	VTC	Oui, un local collectif	Oui
74	Vélo volé	26/08/2020	09:20	Quai de la Fosse	Nantes	47.208675776991896	 -1.5685795951034305	Vélo à assistance électrique	Oui, un local collectif	Oui
75	Vélo volé	29/08/2020	12:00	Rue de Nantes 	Sautron	47.26035084841642	 -1.6599417105887775	Vélo de route	Non	Non
76	Vélo volé	01/09/2020	15:00	Rue du Jamet	Nantes	47.207744962487524	 -1.6049646031665992	Vélo pliant	Non	Oui
77	Vélo volé	31/08/2020		Rue Vaucanson 	Nantes	47.213103525468256	 -1.5807738320030265	VTT	Oui, un local collectif	Non
78	Vélo volé	23/06/2020		Rue Claude et Simone Millot	Nantes	47.260616266872354	 -1.5141111338576605	VTT	Oui, un local collectif	Oui
79	Vélo volé	05/09/2020	07:00	Rue des Hauts-Pavés	Nantes	47.22594200802077	 -1.567995427791828	VTT	Oui, un local collectif	Non
80	Vélo volé	30/08/2020	11:00	Rue Jean-Baptiste Corot	Nantes	47.22344459362406	 -1.5874623087338948	Vélo à assistance électrique	Oui, un local privatif	Non
81	Vélo volé	04/09/2020		Rue Julien Videment	Nantes	47.20762787916024	 -1.5643880185128678	Vélo à assistance électrique	Non	Oui
82	Vélo volé	01/09/2020	15:00	Quai Ernest Renaud	Nantes	47.2058913799581	 -1.573973962695694	Vélo à assistance électrique	Non	Oui
83	Vélo volé	03/09/2020	14:00	Rue Frederic Cailliaud	Nantes	47.22014407658198	 -1.5415365859641688	VTC	Oui, un local privatif	Non
84	Vélo volé	08/09/2020	20:00	Boulevard de la Fraternité	Nantes	47.21873170990007	 -1.5873665957427798	VTT	Non	Oui
85	Vélo volé	08/09/2020	20:00	Boulevard de la Fraternité	Nantes	47.21873170990007	 -1.5873665957427798	VTT		
86	Vélo volé	09/09/2020	15:16	Avenue Carnot 	Nantes	47.2145045791607	 -1.545738912944993	Vélo pliant	Non	Oui
87	Vélo volé	10/09/2020	21:00	Place Ricordeau	Nantes	47.212382734185546	 -1.5538153441365934	VTC	Non	Oui
